"","seqnames","start","end","width","strand","n","tx_names"
"1","chr1",275912,279613,3702,"-",2,c("g13.t1", "g14.t1")
"2","chr1",281298,282602,1305,"+",2,c("g16.t1", "g17.t1")
"3","chr1",282763,285126,2364,"-",2,c("g18.t1", "g19.t1")
"4","chr1",382764,385608,2845,"-",2,c("g35.t1", "g36.t1")
"5","chr1",480060,489148,9089,"-",2,c("g46.t1", "g46.t2")
"6","chr1",517057,520844,3788,"-",2,c("g49.t1", "g50.t1")
"7","chr1",535296,543996,8701,"-",2,c("g54.t2", "g54.t1")
"8","chr1",556381,564207,7827,"+",4,c("g57.t3", "g57.t1", "g57.t2", "g58.t1")
"9","chr1",567889,575359,7471,"-",2,c("g60.t1", "g60.t2")
"10","chr1",575955,580679,4725,"+",3,c("g61.t1", "g62.t1", "g63.t1")
"11","chr1",600387,603180,2794,"+",2,c("g69.t1", "g69.t2")
"12","chr1",631286,639324,8039,"-",3,c("g71.t1", "g72.t1", "g72.t2")
"13","chr1",654089,661391,7303,"+",4,c("g78.t1", "g79.t1", "g80.t1", "g80.t2")
"14","chr1",665347,671085,5739,"+",5,c("g82.t1", "g83.t1", "g84.t1", "g85.t1", "g85.t2")
"15","chr1",678279,684629,6351,"+",2,c("g88.t1", "g89.t1")
"16","chr1",690702,698395,7694,"+",2,c("g92.t1", "g93.t1")
"17","chr1",711100,713266,2167,"-",2,c("g99.t1", "g100.t1")
"18","chr1",732580,736058,3479,"-",2,c("g103.t1", "g104.t1")
"19","chr1",736745,738317,1573,"-",2,c("g105.t1", "g105.t2")
"20","chr1",773880,776164,2285,"+",2,c("g113.t1", "g114.t1")
"21","chr1",779684,782183,2500,"+",2,c("g116.t1", "g117.t1")
"22","chr1",782311,783295,985,"-",2,c("g118.t2", "g118.t1")
"23","chr1",784881,786100,1220,"-",2,c("g119.t1", "g120.t1")
"24","chr1",797194,803439,6246,"+",4,c("g123.t1", "g124.t1", "g125.t1", "g126.t1")
"25","chr1",807416,814170,6755,"+",2,c("g127.t1", "g128.t1")
"26","chr1",814897,819344,4448,"+",2,c("g129.t1", "g130.t1")
"27","chr1",819613,822412,2800,"-",2,c("g131.t1", "g132.t1")
"28","chr1",826302,827706,1405,"-",2,c("g134.t1", "g134.t2")
"29","chr1",831079,834407,3329,"-",2,c("g136.t1", "g136.t2")
"30","chr1",843245,852997,9753,"+",5,c("g137.t1", "g138.t2", "g138.t1", "g139.t1", "g140.t1")
"31","chr1",873104,874782,1679,"-",2,c("g144.t1", "g145.t1")
"32","chr1",918100,922548,4449,"-",2,c("g155.t1", "g155.t2")
"33","chr1",975293,978243,2951,"+",2,c("g168.t2", "g168.t1")
"34","chr1",990181,991716,1536,"-",2,c("g171.t1", "g172.t1")
"35","chr1",994515,1000916,6402,"-",2,c("g174.t1", "g175.t1")
"36","chr1",1009601,1014420,4820,"-",2,c("g177.t1", "g178.t1")
"37","chr1",1023582,1029878,6297,"+",3,c("g181.t1", "g182.t1", "g183.t1")
"38","chr1",1032816,1037304,4489,"+",2,c("g185.t1", "g186.t1")
"39","chr1",1037414,1039434,2021,"-",2,c("g187.t2", "g187.t1")
"40","chr1",1041202,1044822,3621,"-",2,c("g188.t1", "g188.t2")
"41","chr1",1062479,1066162,3684,"-",4,c("g192.t1", "g193.t1", "g194.t1", "g195.t1")
"42","chr1",1070310,1074047,3738,"+",3,c("g197.t1", "g198.t1", "g199.t1")
"43","chr1",1074165,1078758,4594,"-",2,c("g200.t1", "g201.t1")
"44","chr1",1086926,1101889,14964,"-",2,c("g204.t1", "g205.t1")
"45","chr1",1119901,1124878,4978,"-",2,c("g213.t1", "g214.t1")
"46","chr1",1146319,1156790,10472,"+",3,c("g218.t1", "g218.t2", "g219.t1")
"47","chr1",1189162,1195506,6345,"+",2,c("g227.t2", "g227.t1")
"48","chr1",1203339,1206537,3199,"+",2,c("g231.t1", "g232.t1")
"49","chr1",1245289,1248563,3275,"+",2,c("g237.t1", "g237.t2")
"50","chr1",1250087,1256649,6563,"+",3,c("g239.t1", "g240.t1", "g241.t1")
"51","chr1",1262192,1268044,5853,"+",2,c("g242.t1", "g243.t1")
"52","chr1",1268238,1270703,2466,"-",2,c("g244.t1", "g245.t1")
"53","chr1",1271671,1278904,7234,"+",4,c("g246.t1", "g247.t1", "g248.t1", "g249.t1")
"54","chr1",1280504,1281009,506,"+",2,c("g250.t1", "g250.t2")
"55","chr1",1284570,1292199,7630,"+",3,c("g252.t1", "g253.t1", "g254.t1")
"56","chr1",1299628,1303418,3791,"-",3,c("g257.t1", "g258.t1", "g259.t1")
"57","chr1",1309070,1310877,1808,"-",2,c("g263.t1", "g263.t2")
"58","chr1",1328783,1329315,533,"-",2,c("g270.t1", "g270.t2")
"59","chr1",1332975,1339524,6550,"+",3,c("g273.t1", "g274.t1", "g275.t1")
"60","chr1",1357176,1359437,2262,"+",2,c("g278.t1", "g279.t1")
"61","chr1",1363705,1367551,3847,"+",3,c("g281.t1", "g282.t1", "g283.t1")
"62","chr1",1374903,1380679,5777,"+",3,c("g287.t1", "g288.t1", "g289.t1")
"63","chr1",1394328,1402778,8451,"-",2,c("g294.t2", "g294.t1")
"64","chr1",1404498,1408128,3631,"-",2,c("g297.t1", "g298.t1")
"65","chr1",1411317,1415338,4022,"-",3,c("g299.t1", "g299.t2", "g300.t1")
"66","chr1",1435000,1444478,9479,"+",3,c("g302.t1", "g303.t1", "g304.t1")
"67","chr1",1446433,1450374,3942,"+",2,c("g306.t1", "g307.t1")
"68","chr1",1454110,1458666,4557,"-",4,c("g309.t1", "g310.t1", "g311.t1", "g312.t1")
"69","chr1",1463195,1464678,1484,"-",2,c("g315.t1", "g316.t1")
"70","chr1",1465720,1468400,2681,"-",2,c("g317.t1", "g318.t1")
"71","chr1",1468841,1471201,2361,"+",2,c("g319.t1", "g319.t2")
"72","chr1",1506008,1508138,2131,"-",2,c("g326.t1", "g327.t1")
"73","chr1",1536269,1545308,9040,"-",7,c("g337.t1", "g337.t2", "g338.t1", "g339.t1", "g340.t1", "g340.t2", "g340.t3")
"74","chr1",1551452,1555520,4069,"-",3,c("g343.t1", "g344.t1", "g345.t1")
"75","chr1",1585732,1588665,2934,"+",2,c("g351.t1", "g352.t1")
"76","chr1",1619963,1621875,1913,"-",2,c("g360.t1", "g361.t1")
"77","chr1",1645443,1650263,4821,"+",2,c("g366.t1", "g367.t1")
"78","chr1",1668694,1670750,2057,"+",2,c("g373.t2", "g373.t1")
"79","chr1",1683413,1685740,2328,"+",2,c("g376.t1", "g377.t1")
"80","chr1",1686469,1690188,3720,"-",2,c("g378.t1", "g379.t1")
"81","chr1",1700378,1715180,14803,"-",2,c("g382.t1", "g383.t1")
"82","chr1",1718868,1727663,8796,"-",2,c("g385.t1", "g386.t1")
"83","chr1",1740456,1747629,7174,"+",4,c("g388.t1", "g388.t2", "g389.t1", "g390.t1")
"84","chr1",1752431,1756570,4140,"+",2,c("g392.t2", "g392.t1")
"85","chr1",1757177,1768385,11209,"+",3,c("g393.t2", "g393.t1", "g394.t1")
"86","chr1",1770531,1777587,7057,"-",2,c("g396.t1", "g397.t1")
"87","chr1",1778107,1782645,4539,"+",2,c("g398.t1", "g399.t1")
"88","chr1",1790712,1805236,14525,"-",3,c("g402.t1", "g402.t2", "g402.t3")
"89","chr1",1819521,1820450,930,"-",2,c("g408.t1", "g408.t2")
"90","chr1",1822224,1824870,2647,"-",2,c("g410.t1", "g410.t2")
"91","chr1",1833368,1836685,3318,"+",3,c("g412.t1", "g413.t1", "g414.t1")
"92","chr1",1838138,1853246,15109,"-",2,c("g415.t1", "g415.t2")
"93","chr1",1857039,1868339,11301,"-",3,c("g416.t1", "g417.t1", "g418.t1")
"94","chr1",1869540,1874020,4481,"-",2,c("g419.t1", "g420.t1")
"95","chr1",1882955,1887583,4629,"-",4,c("g422.t3", "g422.t4", "g422.t1", "g422.t2")
"96","chr1",1890054,1904133,14080,"-",2,c("g423.t1", "g424.t1")
"97","chr1",1904478,1906549,2072,"+",2,c("g425.t2", "g425.t1")
"98","chr1",1911088,1914595,3508,"+",3,c("g428.t1", "g429.t1", "g430.t1")
"99","chr1",1932759,1933685,927,"+",2,c("g434.t1", "g435.t1")
"100","chr1",1946257,1949153,2897,"+",2,c("g441.t1", "g442.t1")
"101","chr1",1953283,1954749,1467,"-",2,c("g445.t1", "g446.t1")
"102","chr1",1955322,1957176,1855,"-",2,c("g447.t1", "g448.t1")
"103","chr1",1957307,1963598,6292,"+",2,c("g449.t1", "g450.t1")
"104","chr1",1973111,1977533,4423,"+",2,c("g454.t1", "g455.t1")
"105","chr1",1981572,1988204,6633,"-",2,c("g457.t1", "g457.t2")
"106","chr1",1998527,2001367,2841,"+",3,c("g460.t1", "g461.t1", "g462.t1")
"107","chr1",2005806,2014784,8979,"+",3,c("g464.t1", "g465.t1", "g466.t1")
